                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6548,                 3.8362,                 1.2332,                0.01483,                0.71517,                0.15964,                0.08133,                 1.3673,                 3.5855,                 1.0805,              0.0032828,              0.0032828,              0.0032828
                      2,                  1.516,                 2.2027,                 1.1778,                0.66386,                0.40145,                0.46117,                 0.2266,                  1.551,                 2.1653,                 1.2562,              0.0066052,              0.0066052,              0.0066052
                      3,                  1.433,                  1.636,                 1.1371,                0.79921,                 0.5739,                0.68516,                0.38881,                 1.2807,                 1.2074,                 1.1439,              0.0099167,              0.0099167,              0.0099167
                      4,                 1.4052,                 1.4184,                 1.1269,                0.67313,                0.62905,                 0.6651,                0.38609,                 1.2672,                 1.6711,                 1.1249,              0.0099505,              0.0099505,              0.0099505
                      5,                 1.2943,                 1.2608,                 1.0994,                0.83769,                0.67718,                0.76515,                0.39426,                 1.4997,                 1.1209,                  1.216,               0.009934,               0.009934,               0.009934
                      6,                  1.254,                 1.1798,                 1.0913,                0.75651,                0.83546,                0.84508,                0.53465,                 1.1104,                0.90126,                 1.0529,              0.0099175,              0.0099175,              0.0099175
                      7,                 1.2072,                 1.0924,                 1.0666,                0.86364,                0.79665,                0.88743,                  0.552,                 1.1817,                0.85006,                 1.0777,               0.009901,               0.009901,               0.009901
                      8,                 1.1668,                 1.0436,                 1.0456,                0.88198,                0.83275,                0.91258,                0.60843,                 1.0514,                0.81794,                 1.0206,              0.0098845,              0.0098845,              0.0098845
                      9,                 1.1558,                0.97445,                 1.0358,                0.90489,                0.87421,                0.93948,                0.64881,                 1.0228,                0.75936,                 1.0156,               0.009868,               0.009868,               0.009868
                     10,                 1.1277,                0.94512,                 1.0334,                0.92669,                 0.8941,                0.94531,                0.60862,                 1.1405,                 0.7237,                 1.0307,              0.0098515,              0.0098515,              0.0098515
                     11,                 1.0875,                0.89256,                 1.0084,                0.89214,                0.88944,                0.93998,                0.62725,                 1.0433,                0.70762,                  1.012,               0.009835,               0.009835,               0.009835
                     12,                 1.0764,                0.87815,                 1.0128,                0.84763,                 0.9075,                0.93496,                0.58998,                 1.1234,                0.74365,                 1.0552,              0.0098185,              0.0098185,              0.0098185
                     13,                 1.0469,                0.84633,                 1.0015,                0.93335,                0.90857,                0.94829,                0.65699,                 1.0024,                0.65793,                 1.0107,               0.009802,               0.009802,               0.009802
