                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6643,                 3.5623,                 1.1989,                0.01466,                0.84007,                0.17135,                0.08293,                 1.3578,                 3.3524,                 1.0654,             0.00020518,             0.00020518,             0.00020518
                      2,                  1.427,                 1.9144,                 1.1172,                0.67509,                0.55925,                0.61879,                 0.3713,                 1.2211,                 1.8753,                 1.0482,             0.00040942,             0.00040942,             0.00040942
                      3,                 1.3432,                 1.4793,                 1.0838,                 0.6841,                0.70511,                0.74438,                0.47618,                 1.1336,                 1.1846,                 1.0203,             0.00060953,             0.00060953,             0.00060953
                      4,                 1.2395,                 1.2359,                 1.0496,                0.84892,                0.80951,                 0.8594,                0.56381,                 1.0615,                0.92807,                  1.005,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.1574,                 1.1206,                 1.0327,                 0.8843,                0.80807,                0.87586,                0.55523,                 1.1116,                0.84001,                 1.0348,             0.00060025,             0.00060025,             0.00060025
                      6,                 1.1651,                 1.0534,                 1.0347,                0.81621,                0.90894,                0.90302,                0.60832,                  1.015,                0.78937,                0.99138,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.1055,                0.97484,                 1.0106,                0.88982,                 0.9009,                0.94672,                0.65461,                 1.0038,                0.74401,                0.97685,             0.00058787,             0.00058787,             0.00058787
                      8,                 1.0761,                0.93103,                 1.0001,                0.91006,                0.90723,                0.94421,                0.68202,                0.94243,                0.67789,                0.96352,             0.00058169,             0.00058169,             0.00058169
                      9,                 1.0283,                0.86077,                0.98181,                0.93922,                0.92709,                0.96036,                0.69833,                0.93978,                0.63816,                0.95726,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.0261,                0.84372,                0.98331,                0.94223,                0.94146,                0.96895,                0.71981,                0.88517,                0.63652,                0.94343,             0.00056931,             0.00056931,             0.00056931
                     11,                0.98347,                0.79998,                0.96307,                0.93256,                0.92657,                0.96505,                0.69444,                 0.9305,                0.61631,                0.94927,             0.00056313,             0.00056313,             0.00056313
                     12,                0.99817,                0.78958,                0.97239,                0.96749,                0.92459,                0.96244,                0.72544,                 0.8494,                0.57968,                0.93048,             0.00055694,             0.00055694,             0.00055694
                     13,                0.93293,                0.74893,                0.95527,                0.95499,                0.93266,                0.96728,                0.73272,                0.85835,                0.61918,                 0.9482,             0.00055075,             0.00055075,             0.00055075
                     14,                 0.9284,                0.74027,                0.95248,                0.93239,                0.92936,                0.96478,                0.71094,                0.91976,                0.60719,                0.94629,             0.00054456,             0.00054456,             0.00054456
                     15,                0.91755,                0.71421,                0.94568,                0.96404,                0.94837,                0.96985,                0.74644,                0.83759,                0.54109,                0.92543,             0.00053838,             0.00053838,             0.00053838
                     16,                0.91054,                0.69025,                0.94088,                0.97085,                0.94923,                0.97278,                0.74736,                 0.8496,                0.54168,                0.92106,             0.00053219,             0.00053219,             0.00053219
